Z,Z_stock_gap,Z_stock_validation,backward_attempted_scales,backward_retry_count,backward_scale,backward_scale_initial,backward_scale_reductions_total,best_Z_so_far,best_iter_so_far,bspline_enabled,bspline_grad_norm,bspline_max_disp,bspline_mean_disp,bspline_num_at_max,bspline_num_at_min,bspline_p95_disp,bspline_param_max,bspline_param_mean_abs,bspline_param_min,case_id,clean_edit_embedding_norm,combined_max_disp_px,combined_mean_disp_px,combined_p95_disp_px,components_at_boundary,dct_clipped_high_fraction,dct_clipped_low_fraction,dct_coefficient_delta_l1,dct_coefficient_delta_l2,dct_dc_energy,dct_enabled,dct_frequency_mask_mode,dct_gain_grad_norm,dct_gain_l2,dct_gain_max,dct_gain_mean,dct_gain_mean_abs,dct_gain_min,dct_high_frequency_energy_after,dct_high_frequency_energy_before,dct_input_coefficient_energy,dct_low_frequency_energy_after,dct_low_frequency_energy_before,dct_mid_frequency_energy_after,dct_mid_frequency_energy_before,dct_num_at_max,dct_num_at_min,dct_num_clamped,dct_output_coefficient_energy,dct_relative_energy_change,dct_selected_frequency_count,dct_spatial_delta_l1,dct_spatial_delta_l2,dct_spatial_delta_max_abs,dct_spatial_delta_mse,delaunay_enabled,delaunay_grad_norm,delaunay_max_disp,delaunay_mean_disp,delaunay_num_at_max,delaunay_num_at_min,delaunay_p95_disp,delaunay_param_max,delaunay_param_mean_abs,delaunay_param_min,differential_surface_enabled,differential_surface_grad_norm,differential_surface_max_disp,differential_surface_mean_disp,differential_surface_num_at_max,differential_surface_num_at_min,differential_surface_p95_disp,differential_surface_param_max,differential_surface_param_mean_abs,differential_surface_param_min,edit_identity_angle_degrees,edit_identity_angle_radians,edit_identity_cosine_distance,edit_identity_cosine_similarity_raw,edit_identity_l2_embedding_distance,edit_identity_similarity_score_pct,editor_forward,editor_num_inference_steps,face_id,fft_phase_enabled,fft_phase_grad_norm,fft_phase_max_abs,fft_phase_mean_abs,fft_phase_norm,fft_phase_num_at_max,fft_phase_num_at_min,fft_phase_num_clamped,fft_spatial_delta_mse,foldover_fraction,fraction_clamped_total,geodesic_enabled,geodesic_grad_norm,geodesic_max_disp,geodesic_mean_disp,geodesic_num_at_max,geodesic_num_at_min,geodesic_p95_disp,geodesic_param_max,geodesic_param_mean_abs,geodesic_param_min,identity_angle_degrees,identity_angle_radians,identity_cosine_distance,identity_cosine_similarity_raw,identity_l2_embedding_distance,identity_similarity_score_pct,input_identity_angle_degrees,input_identity_angle_radians,input_identity_cosine_distance,input_identity_cosine_similarity_raw,input_identity_l2_embedding_distance,input_identity_left_embedding_norm,input_identity_right_embedding_norm,input_identity_similarity_score_pct,iter,jacobian_det_min,l2_to_original,laplacian_enabled,laplacian_grad_norm,laplacian_max_disp,laplacian_mean_disp,laplacian_num_at_max,laplacian_num_at_min,laplacian_p95_disp,laplacian_param_max,laplacian_param_mean_abs,laplacian_param_min,learning_rate,legacy_fft_strength_equivalent,lens_barrel_enabled,lens_barrel_grad_norm,lens_barrel_max_disp,lens_barrel_mean_disp,lens_barrel_num_at_max,lens_barrel_num_at_min,lens_barrel_p95_disp,lens_barrel_param_max,lens_barrel_param_mean_abs,lens_barrel_param_min,lens_pincushion_enabled,lens_pincushion_grad_norm,lens_pincushion_max_disp,lens_pincushion_mean_disp,lens_pincushion_num_at_max,lens_pincushion_num_at_min,lens_pincushion_p95_disp,lens_pincushion_param_max,lens_pincushion_param_mean_abs,lens_pincushion_param_min,loss,mobius_enabled,mobius_grad_norm,mobius_max_disp,mobius_mean_disp,mobius_num_at_max,mobius_num_at_min,mobius_p95_disp,mobius_param_max,mobius_param_mean_abs,mobius_param_min,mse_to_original,num_at_max_total,num_at_min_total,num_clamped_total,num_total_params,optimizer_updates_completed,original_embedding_norm,peak_vram_gb,perturbed_edit_embedding_norm,perturbed_embedding_norm,phase,polar_enabled,polar_grad_norm,polar_max_disp,polar_mean_disp,polar_p95_disp,polar_radial_num_at_max,polar_radial_num_at_min,polar_radial_param_max,polar_radial_param_mean_abs,polar_radial_param_min,polar_twist_num_at_max,polar_twist_num_at_min,polar_twist_param_max,polar_twist_param_mean_abs,polar_twist_param_min,prompt,psnr_to_original,rolling_enabled,rolling_grad_norm,rolling_max_disp,rolling_mean_disp,rolling_num_at_max,rolling_num_at_min,rolling_p95_disp,rolling_param_max,rolling_param_mean_abs,rolling_param_min,seconds_elapsed,seconds_iter,seed,smoothness_tv,ssim_to_original,total_geometry_grad_norm,total_grad_norm,tps_enabled,tps_grad_norm,tps_max_disp,tps_mean_disp,tps_num_at_max,tps_num_at_min,tps_p95_disp,tps_param_max,tps_param_mean_abs,tps_param_min
0.970850944519043,0.0,0.970850944519043,65536,0,65536.0,65536.0,0,0.970850944519043,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,face_002__add_headphones,1.0,0.9997311234474182,0.3310166299343109,0.6826304793357849,,0.0,0.0,0.0,0.0,0.0,0,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.03583207353949547,0.6792876720428467,0.21269658207893372,0,0,0.4945622980594635,0.9328691959381104,0.3407110273838043,-0.9366225600242615,1,7.383235454559326,0.24363432824611664,0.0700734406709671,0,0,0.16938333213329315,0.0013244013534858823,0.0003186304238624871,-0.0013468489050865173,13.867894172668457,0.24204041063785553,0.02914905548095703,0.970850944519043,0.2414502054452896,97.08509826660156,exact_installed_diffusers_pipeline_body,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,13.867894172668457,0.24204041063785553,0.02914905548095703,0.970850944519043,0.2414502054452896,97.08509826660156,8.13450813293457,0.14197394251823425,0.010061383247375488,0.9899386167526245,0.14185388386249542,1.0,1.0,98.99385833740234,0,0.9768332839012146,0.013355942443013191,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,1,5.999288558959961,0.24168872833251953,0.18925699591636658,0,0,0.24146109819412231,0.0008703197236172855,0.0008703197236172855,0.0008703197236172855,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.970850944519043,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0001783811894711107,0,0,0,152,0,1.0,15.501044750213623,1.0,1.0,optimization,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,add headphones,37.48650944464466,1,0.03817998617887497,0.26190170645713806,0.09385015070438385,0,0,0.24293124675750732,0.2925674617290497,0.17786067724227905,-0.06315388530492783,26.7621006462723,8.368645183742046,438717,0.006821009796112776,0.9696612358093262,9.513585090637207,9.513585090637207,1,0.04384062439203262,0.4958705008029938,0.14304541051387787,0,0,0.35906103253364563,0.6501206159591675,0.17285601794719696,-0.5595666170120239
0.8890911340713501,,,65536,0,65536.0,65536.0,0,0.8890911340713501,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,face_002__add_headphones,1.0,18.433013916015625,5.104270935058594,11.635052680969238,"differential_surface,lens_barrel",0.0,0.0,0.0,0.0,0.0,0,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.1991083025932312,0.7799845337867737,0.20441511273384094,0,0,0.4969654083251953,0.9328691959381104,0.34547409415245056,-0.9366225600242615,1,32.9968147277832,5.596548557281494,2.259488105773926,13,12,4.432703495025635,0.019999999552965164,0.010204081423580647,-0.019999999552965164,27.240737915039062,0.4754405617713928,0.1109088659286499,0.8890911340713501,0.47097548842430115,88.90911102294922,exact_installed_diffusers_pipeline_body,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.17105263157894737,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,27.240737915039062,0.4754405617713928,0.1109088659286499,0.8890911340713501,0.47097548842430115,88.90911102294922,28.81188201904297,0.5028622150421143,0.12379324436187744,0.8762067556381226,0.49758055806159973,1.0,0.9999999403953552,87.62067413330078,1,0.6814679503440857,0.07953163981437683,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,1,24.382850646972656,17.878252029418945,4.092961311340332,0,1,11.223423957824707,-0.029999999329447746,0.029999999329447746,-0.029999999329447746,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.8890911340713501,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.006325281225144863,13,13,26,152,1,1.0,15.501044750213623,0.9999999403953552,0.9999999403953552,optimization,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,add headphones,21.989201607745215,1,0.2973957061767578,0.3751860558986664,0.20040220022201538,0,0,0.3619826138019562,0.39256730675697327,0.214706689119339,0.036846086382865906,33.72460155189037,6.4444695971906185,438717,0.13555839657783508,0.6209105849266052,41.03030014038086,41.03030014038086,1,0.21036334335803986,0.6387729644775391,0.1677752584218979,0,0,0.39924588799476624,0.6501206159591675,0.18666349351406097,-0.5595666170120239
0.828020453453064,,,65536,0,65536.0,65536.0,0,0.828020453453064,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,face_002__add_headphones,1.0,11.05118179321289,5.667436599731445,10.074480056762695,differential_surface,0.0,0.0,0.0,0.0,0.0,0,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.2213209718465805,0.8610113263130188,0.20242732763290405,0,0,0.4709555208683014,0.9328691959381104,0.3495522141456604,-0.9366225600242615,1,36.536434173583984,5.257490634918213,2.244584560394287,9,13,4.274906158447266,0.019999999552965164,0.009906928986310959,-0.019999999552965164,34.10407638549805,0.5952284336090088,0.17197954654693604,0.828020453453064,0.5864803791046143,82.80204772949219,exact_installed_diffusers_pipeline_body,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.14473684210526316,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,34.10407638549805,0.5952284336090088,0.17197954654693604,0.828020453453064,0.5864803791046143,82.80204772949219,36.79387664794922,0.6421743035316467,0.19920462369918823,0.8007953763008118,0.6311967372894287,1.0,1.0,80.07953643798828,2,0.6644079089164734,0.10027880221605301,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,1,22.699800491333008,6.93964958190918,5.434568405151367,0,0,6.933717250823975,0.026259219273924828,0.026259219273924828,0.026259219273924828,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.828020453453064,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.010055838152766228,9,13,22,152,2,1.0,15.501044750213623,0.9999999403953552,0.9999999403953552,optimization,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,add headphones,19.9758172517156,1,0.11352366209030151,0.2961158752441406,0.12883876264095306,0,0,0.2786766588687897,0.3216393291950226,0.1745857447385788,-0.027532171458005905,39.863163497298956,6.08833740837872,438717,0.09917250275611877,0.5721908807754517,43.01527404785156,43.01527404785156,1,0.24480652809143066,0.5749768018722534,0.1773674488067627,0,0,0.4052988588809967,0.6501206159591675,0.1946929544210434,-0.5595666170120239
0.744687557220459,,,65536,0,65536.0,65536.0,0,0.744687557220459,3,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,face_002__add_headphones,1.0,11.987197875976562,6.317941665649414,10.322060585021973,"differential_surface,lens_barrel",0.0,0.0,0.0,0.0,0.0,0,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.07804307341575623,0.9540036916732788,0.22070181369781494,0,0,0.4766787588596344,0.9328691959381104,0.36007702350616455,-0.9549434781074524,1,13.322441101074219,4.286199569702148,1.8042491674423218,6,12,3.731191396713257,0.019999999552965164,0.0083945756778121,-0.019999999552965164,41.867733001708984,0.7307297587394714,0.255312442779541,0.744687557220459,0.7145802974700928,74.46875762939453,exact_installed_diffusers_pipeline_body,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.125,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,41.867733001708984,0.7307297587394714,0.255312442779541,0.744687557220459,0.7145802974700928,74.46875762939453,43.92654037475586,0.7666627168655396,0.2797701358795166,0.7202298641204834,0.7480242848396301,1.0,0.9999999403953552,72.02298736572266,3,0.6706854701042175,0.10400660336017609,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,1,17.39008331298828,7.872270107269287,6.164918899536133,1,0,7.865530490875244,0.029999999329447746,0.029999999329447746,0.029999999329447746,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.744687557220459,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.010817374102771282,7,12,19,152,3,1.0,15.501044750213623,0.9999999403953552,0.9999999403953552,optimization,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,add headphones,19.658781506048463,1,0.020282311365008354,0.20787905156612396,0.05493507161736488,0,0,0.1873607337474823,0.24120953679084778,0.16722488403320312,-0.09324023872613907,46.095783706754446,6.218070680275559,438717,0.08689454942941666,0.555527925491333,21.907028198242188,21.907028198242188,1,0.09468171000480652,0.48878487944602966,0.17624026536941528,0,0,0.4065071940422058,0.6501206159591675,0.19600003957748413,-0.5595666170120239
0.7249178886413574,,,65536,0,65536.0,65536.0,0,0.7249178886413574,4,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,face_002__add_headphones,1.0,12.051312446594238,6.3814778327941895,10.462800025939941,"differential_surface,lens_barrel",0.0,0.0,0.0,0.0,0.0,0,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.07090359926223755,0.9818270206451416,0.24113315343856812,0,0,0.5097224116325378,0.9328691959381104,0.3713313937187195,-0.9786458611488342,1,12.39588451385498,4.900953769683838,2.0231571197509766,8,15,4.016942977905273,0.019999999552965164,0.009762846864759922,-0.019999999552965164,43.53798294067383,0.7598811388015747,0.2750821113586426,0.7249178886413574,0.7417304515838623,72.49179077148438,exact_installed_diffusers_pipeline_body,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.15789473684210525,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,43.53798294067383,0.7598811388015747,0.2750821113586426,0.7249178886413574,0.7417304515838623,72.49179077148438,44.98985290527344,0.7852210402488708,0.2927680015563965,0.7072319984436035,0.7652031779289246,1.0,1.0,70.72319793701172,4,0.6461655497550964,0.103232741355896,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,1,22.321758270263672,7.872270107269287,6.164918899536133,1,0,7.865530490875244,0.029999999329447746,0.029999999329447746,0.029999999329447746,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.7249178886413574,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.010656999424099922,9,15,24,152,4,1.0,15.501044750213623,1.0,1.0,optimization,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,add headphones,19.723650576915592,1,0.06432116031646729,0.13246256113052368,0.048863932490348816,0,0,0.11031123995780945,0.17036394774913788,0.15714475512504578,-0.14392557740211487,52.264515621587634,6.138998240232468,438717,0.09154430776834488,0.5567499399185181,25.53302764892578,25.53302764892578,1,0.08673743903636932,0.5413373112678528,0.18403589725494385,0,0,0.41815489530563354,0.6501206159591675,0.19803020358085632,-0.5595666170120239
0.780318021774292,,,65536,0,65536.0,65536.0,0,0.7249178886413574,4,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,face_002__add_headphones,1.0,10.670406341552734,5.079371452331543,8.987089157104492,differential_surface,0.0,0.0,0.0,0.0,0.0,0,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.08768625557422638,1.0111068487167358,0.25694239139556885,0,0,0.558101236820221,0.9328691959381104,0.37859493494033813,-1.0015113353729248,1,40.7723503112793,4.910989761352539,2.0711584091186523,9,15,4.084150791168213,0.019999999552965164,0.010171031579375267,-0.019999999552965164,38.71030044555664,0.6756221652030945,0.219681978225708,0.780318021774292,0.6628453731536865,78.03179931640625,exact_installed_diffusers_pipeline_body,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.15789473684210525,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,38.71030044555664,0.6756221652030945,0.219681978225708,0.780318021774292,0.6628453731536865,78.03179931640625,41.284881591796875,0.7205570936203003,0.24856173992156982,0.7514382600784302,0.7050698399543762,1.0,0.9999999403953552,75.14382934570312,5,0.6847419142723083,0.08782406151294708,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,1,71.41707611083984,6.087810039520264,4.7674713134765625,0,0,6.082595348358154,0.022888366132974625,0.022888366132974625,0.022888366132974625,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.780318021774292,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.007713066413998604,9,15,24,152,5,1.0,15.501044750213623,0.9999999403953552,0.9999999403953552,optimization,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,add headphones,21.127729290926908,1,0.17249462008476257,0.14641323685646057,0.0820440948009491,0,0,0.1457108110189438,0.10887272655963898,0.15333940088748932,-0.19780607521533966,58.65237709134817,6.306285640224814,438717,0.08031114935874939,0.5996648073196411,82.23643493652344,82.23643493652344,1,0.10048012435436249,0.5993709564208984,0.1958957314491272,0,0,0.46147626638412476,0.6501206159591675,0.20207077264785767,-0.5595666170120239
0.7461888790130615,,,65536,0,65536.0,65536.0,0,0.7249178886413574,4,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,face_002__add_headphones,1.0,11.959013938903809,6.440075874328613,9.980323791503906,"differential_surface,lens_barrel",0.0,0.0,0.0,0.0,0.0,0,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.13887830078601837,1.0439801216125488,0.272534042596817,0,0,0.6057888269424438,0.9328691959381104,0.38461413979530334,-1.0311955213546753,1,29.109769821166992,4.278212547302246,1.917454481124878,9,11,3.7796881198883057,0.019999999552965164,0.009611882269382477,-0.019999999552965164,41.738685607910156,0.7284774780273438,0.2538111209869385,0.7461888790130615,0.7124761343002319,74.61888885498047,exact_installed_diffusers_pipeline_body,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.13815789473684212,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,41.738685607910156,0.7284774780273438,0.2538111209869385,0.7461888790130615,0.7124761343002319,74.61888885498047,44.208133697509766,0.7715774774551392,0.2831883430480957,0.7168116569519043,0.7525800466537476,1.0,1.0,71.68116760253906,6,0.6846147179603577,0.10106078535318375,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,1,9.72555160522461,7.872270107269287,6.164918899536133,1,0,7.865530490875244,0.029999999329447746,0.029999999329447746,0.029999999329447746,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.7461888790130615,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.010213281959295273,10,11,21,152,6,1.0,15.501044750213623,0.9999999403953552,0.9999999403953552,optimization,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,add headphones,19.9083467830714,1,0.06284129619598389,0.1832975447177887,0.102763831615448,0,0,0.1824406236410141,0.11162956058979034,0.17403340339660645,-0.23643726110458374,65.20017145760357,6.537034146487713,438717,0.09081953763961792,0.5587519407272339,30.69223403930664,30.69223403930664,1,0.1575571447610855,0.6433274745941162,0.21106308698654175,0,0,0.5065755844116211,0.6501206159591675,0.20845180749893188,-0.5595666170120239
0.7304295301437378,,,65536,0,65536.0,65536.0,0,0.7249178886413574,4,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,face_002__add_headphones,1.0,10.271536827087402,6.21567964553833,9.409730911254883,"differential_surface,lens_barrel",0.0,0.0,0.0,0.0,0.0,0,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.1598495990037918,1.064008355140686,0.28757983446121216,0,0,0.6412650942802429,0.9328691959381104,0.39064109325408936,-1.0478899478912354,1,32.8637580871582,4.457942962646484,1.7808682918548584,9,10,3.7211053371429443,0.019999999552965164,0.00936109758913517,-0.019999999552965164,43.07758331298828,0.75184565782547,0.2695704698562622,0.7304295301437378,0.734262228012085,73.04295349121094,exact_installed_diffusers_pipeline_body,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.13157894736842105,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,43.07758331298828,0.75184565782547,0.2695704698562622,0.7304295301437378,0.734262228012085,73.04295349121094,46.45701217651367,0.8108277916908264,0.31110137701034546,0.6888986229896545,0.7887982726097107,1.0,1.0,68.88986206054688,7,0.6232454776763916,0.09853117913007736,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,1,28.199073791503906,7.872270107269287,6.164918899536133,1,0,7.865530490875244,0.029999999329447746,0.029999999329447746,0.029999999329447746,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.7304295301437378,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.00970839336514473,10,10,20,152,7,1.0,15.501044750213623,1.0,1.0,optimization,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,add headphones,20.128526352190992,1,0.2512950599193573,0.20559808611869812,0.1152513176202774,0,0,0.2046615481376648,0.1264529973268509,0.19611197710037231,-0.26577094197273254,71.50757214985788,6.297465059906244,438717,0.09037290513515472,0.5691332817077637,43.30522537231445,43.30522537231445,1,0.19850493967533112,0.6981202960014343,0.22847208380699158,0,0,0.5573573708534241,0.6501206159591675,0.21629056334495544,-0.5773680210113525
0.7063992023468018,,,65536,0,65536.0,65536.0,0,0.7063992023468018,8,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,face_002__add_headphones,1.0,10.901914596557617,6.287796497344971,9.541592597961426,"differential_surface,lens_barrel",0.0,0.0,0.0,0.0,0.0,0,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.13988476991653442,1.0798588991165161,0.2927924394607544,0,0,0.6469100117683411,0.9328691959381104,0.39197447896003723,-1.0621260404586792,1,23.197179794311523,4.8620219230651855,1.8375580310821533,9,10,3.73112154006958,0.019999999552965164,0.008520185016095638,-0.019999999552965164,45.05730438232422,0.7863982915878296,0.29360079765319824,0.7063992023468018,0.7662908434867859,70.63992309570312,exact_installed_diffusers_pipeline_body,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.13157894736842105,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,45.05730438232422,0.7863982915878296,0.29360079765319824,0.7063992023468018,0.7662908434867859,70.63992309570312,48.105194091796875,0.8395940065383911,0.3322349190711975,0.6677650809288025,0.8151502013206482,1.0,1.0,66.77650451660156,8,0.585660457611084,0.10042093694210052,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,1,35.84798812866211,7.872270107269287,6.164918899536133,1,0,7.865530490875244,0.029999999329447746,0.029999999329447746,0.029999999329447746,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.7063992023468018,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0100843645632267,10,10,20,152,8,1.0,15.501044750213623,1.0,1.0,optimization,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,add headphones,19.96351462387128,1,0.11543509364128113,0.1841634064912796,0.10379448533058167,0,0,0.18331032991409302,0.16688179969787598,0.21454448997974396,-0.26220718026161194,77.6359638273716,5.984841516241431,438717,0.09699884057044983,0.5721035599708557,42.699459075927734,42.699459075927734,1,0.15294642746448517,0.730541467666626,0.24013999104499817,0,0,0.5975344777107239,0.6501206159591675,0.22070355713367462,-0.6035622954368591
0.6916926503181458,,,65536,0,65536.0,65536.0,0,0.6916926503181458,9,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,face_002__add_headphones,1.0,10.854482650756836,6.398367404937744,9.727750778198242,"differential_surface,lens_barrel",0.0,0.0,0.0,0.0,0.0,0,all_ac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.18389564752578735,1.105979561805725,0.298313170671463,0,0,0.6608085632324219,0.9328691959381104,0.39261752367019653,-1.085479736328125,1,31.438358306884766,5.005626678466797,1.9079707860946655,11,9,4.013030052185059,0.019999999552965164,0.008845497854053974,-0.019999999552965164,46.23575210571289,0.8069661259651184,0.30830734968185425,0.6916926503181458,0.7852481603622437,69.16926574707031,exact_installed_diffusers_pipeline_body,20,face_002,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.13815789473684212,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,46.23575210571289,0.8069661259651184,0.30830734968185425,0.6916926503181458,0.7852481603622437,69.16926574707031,47.75156784057617,0.833422064781189,0.3276534676551819,0.6723465323448181,0.8095102310180664,1.0,1.0,67.23464965820312,9,0.5727289319038391,0.10234162956476212,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,1,8.480998992919922,7.872270107269287,6.164918899536133,1,0,7.865530490875244,0.029999999329447746,0.029999999329447746,0.029999999329447746,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.6916926503181458,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.010473809204995632,12,9,21,152,9,1.0,15.501044750213623,1.0,1.0,optimization,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,add headphones,19.79895341640594,1,0.18794764578342438,0.154525026679039,0.08895064145326614,0,0,0.14926522970199585,0.21424198150634766,0.23085470497608185,-0.24746742844581604,84.31723552942276,6.52373375557363,438717,0.10029728710651398,0.5664610266685486,32.563961029052734,32.563961029052734,1,0.2115665227174759,0.7721074819564819,0.24860471487045288,0,0,0.6319222450256348,0.6832057237625122,0.22421002388000488,-0.6418766975402832
